用户ID 用户昵称 用户头像地址 评论时间 点赞总数 评论内容
262376601 胖不了的张同学 http://p1.music.126.net/lky6zzuPXVyJYAvcwulk5g==/18722483999712809.jpg 1490227433216 2 陪我度过了高三
120074735 -青年君 http://p1.music.126.net/WB-0UCJLj2gAQHc1-4_WUg==/18631224534426346.jpg 1490168717981 1 这个调听着很舒服 这应该也是凌大的第一支拍成mv的歌曲吧
405158069 can_or_cannot http://p1.music.126.net/_MCHy-x8zL5ByP-Bpy74RA==/18700493767039531.jpg 1490102426566 1 快四年了，没关系，做好自己就够了
283123624 魔力大章鱼 http://p1.music.126.net/pqzIWdD56YxxsJ0Vfqfqqw==/18830236139230566.jpg 1489840942650 2 小岁月过的太快，两年了，我还没有攒够勇气
382954213 明君好菇凉 http://p1.music.126.net/r0FNlaAFSLhifkTZ1Q4Ppg==/109951162873711710.jpg 1489837119918 2 如果有一天你穿上婚纱成为别人的新娘，我闭口不提当年的疯狂，如果有一天我穿上西装成为别人的新郎，你依旧是我最初的梦想。想要一封你婚礼的请柬，无论多远都去看看你，我见过你开心的，难过的，温柔的，伤心的模样，最后我还想看看你属于别人的模样！
352037676 凌兮格 http://p1.music.126.net/14E98VuitfrzMf3rGoSZ-w==/18730180580981590.jpg 1489832039611 1 太好听了！怀念童年
418659281 兔里兔气 http://p1.music.126.net/xkTdRRsl5g9uX82oQptdTA==/19031446765320348.jpg 1489752771245 0 好听不做作
302918025 松鼠_宣 http://p1.music.126.net/m1Re4TR8bGll5ozf1qHspQ==/3446968959120453.jpg 1489595961616 4 今天走在学校的路上去接他下课的时候听到广播里放这首歌，很庆幸我们都没有错过彼此，也很庆幸他当初的坚持让我得以有机会更加了解他。一定要好好的啊，要一直一直在一起，不要有遗憾呐。
379413076 胡然呀 http://p1.music.126.net/uyziz8pHlKH-mVOq3ncerg==/18541064580865785.jpg 1489495840311 2 这么好听的歌怎么没人听，不可思议，太冷门了
436119484 网混婷掰掰 http://p1.music.126.net/JHldy6FiBPnxLDRr8iHWiw==/18929192183819651.jpg 1489493228106 1 超喜欢这首歌
279109107 权鹿凌 http://p1.music.126.net/nfnELrPnRYMCR4vu2KCoEA==/19136999881443515.jpg 1489413037848 1 因为单色凌而认识她
410476496 猫酱暮 http://p1.music.126.net/JRxTkSMm0StU1_sgmb8FxQ==/18731280092626554.jpg 1489162846868 1 初一一听的时候就单曲循环了，现在高一了听到这歌有些感慨，时间过的好快
260081599 Lin晓睿 http://p1.music.126.net/un4g6Jn7TuB8kOolFTBDxQ==/18663110371572171.jpg 1489151780517 0 为什么网易云会给我推这首非主流…
352037676 凌兮格 http://p1.music.126.net/14E98VuitfrzMf3rGoSZ-w==/18730180580981590.jpg 1488988685943 5 好听！小清新
421805462 大象睡不着睡得着 http://p1.music.126.net/yXFquSX5p7DWH-OP0bPnpg==/18931391207100373.jpg 1488261966604 3 好听哦
287730357 因为张学友开始准备唱吻别 http://p1.music.126.net/RVWy4tPCqoM2x0tMSheU6g==/18696095720645980.jpg 1488080206977 0 [惶恐]
303011576 猫咪樱桃小丸子 http://p1.music.126.net/V6Srq1yCzs-zPlVKx13BJg==/18878614649110466.jpg 1488080135857 0 可怕。。。
287730357 因为张学友开始准备唱吻别 http://p1.music.126.net/RVWy4tPCqoM2x0tMSheU6g==/18696095720645980.jpg 1488080097782 0 潮实
303011576 猫咪樱桃小丸子 http://p1.music.126.net/V6Srq1yCzs-zPlVKx13BJg==/18878614649110466.jpg 1488072276684 0 你哪儿的呢😂😂
287730357 因为张学友开始准备唱吻别 http://p1.music.126.net/RVWy4tPCqoM2x0tMSheU6g==/18696095720645980.jpg 1488038926806 0 同城诶。会不会是校友
348865167 一个可耐阳 http://p1.music.126.net/fhmG3x_zwLdt2FnvhYCaig==/18894007811841811.jpg 1487857442418 5 评论不该这么少，赞我顶起来[亲亲]
300134421 rskyxz http://p1.music.126.net/k99yPp79E9ttINAi5CEFwg==/3402988494782821.jpg 1487737552620 4 后悔当时没有鼓起勇气去吻你
29861773 Ywinnie http://p1.music.126.net/z3xe02rPkEfxcq6iItOamw==/6646547791383978.jpg 1487661803665 2 天啦。在歌声中回味一下青春的酸甜滋味。
303011576 猫咪樱桃小丸子 http://p1.music.126.net/V6Srq1yCzs-zPlVKx13BJg==/18878614649110466.jpg 1487591544118 5 第一次听这首歌是在学校元旦晚会的舞台上，初一几个男生和女生的合唱，今天学校广播又响起了这首歌，不禁觉得时间真的过得好快好快呀，转眼间，自己已经高二了……
114612207 寻真之旅 http://p1.music.126.net/abwe7GhEk-P7Z_laGxRGjA==/18519074348327143.jpg 1487408565246 2 像一见钟情的节奏!
262150230 一叶横飞过大海 http://p1.music.126.net/uoO1-j3TOomlMLi35fNIbQ==/3426078233435928.jpg 1487405300625 0 我现在1区120万，约？
128384064 紫苏zz http://p1.music.126.net/4GhgM9ZpYH_h-392gMr7xA==/109951162938489523.jpg 1487379169869 2 我是觉得，唱得太浮夸了
310040463 想不起来起什么好 http://p1.music.126.net/ahVrT6yK2GELqs-YRckBYQ==/19122706230387258.jpg 1487379121124 0 人的审美总是有差别的。
128384064 紫苏zz http://p1.music.126.net/4GhgM9ZpYH_h-392gMr7xA==/109951162938489523.jpg 1487338448287 0 看来我老了，这男声毁了一首歌
67992008 GeVinci http://p1.music.126.net/r6pxla-vgY6q1l8PmLIrzg==/19067730649020882.jpg 1487336108830 1 刚出的时候用qq音乐听的，这么好听才这点评论
313681938 若木沉曦 http://p1.music.126.net/PnMdvCCo0lILtreb0qOfAQ==/18798350300584176.jpg 1487259519788 0 我有句妈卖批一定要讲
310040463 想不起来起什么好 http://p1.music.126.net/ahVrT6yK2GELqs-YRckBYQ==/19122706230387258.jpg 1487132743920 0 [哀伤]
